percorso;num;id_ferm
"10151";"7";"13331"
"6774";"16";"11915"
"12162";"26";"10635"
"322";"11";"13691"
"12273";"2";"13284"
"9962";"25";"11192"
"11424";"12";"10760"
"6737";"6";"11691"
"10294";"11";"11461"
"9904";"19";"11131"
"9439";"4";"12323"
"9320";"9";"16665"
"7621";"4";"14098"
"12381";"11";"11577"
"9319";"4";"15614"
"5484";"10";"12381"
"7691";"9";"15199"
"3732";"12";"10440"
"10077";"5";"12734"
"7653";"19";"16538"
"6142";"16";"13098"
"13126";"5";"12866"
"6844";"9";"17122"
"6807";"9";"14499"
"9160";"19";"15398"
"8119";"13";"10267"
"7691";"10";"13539"
"11608";"9";"14899"
"11652";"3";"18096"
"11709";"11";"12402"
"13374";"9";"15909"
"4538";"19";"11856"
"13127";"5";"18133"
"9925";"8";"12858"
"6244";"17";"11146"
"10013";"3";"13799"
"8988";"4";"10679"
"9878";"20";"10357"
"6802";"8";"10009"
"10300";"6";"10090"
"13130";"8";"11193"
"12963";"3";"15557"
"4873";"9";"14208"
"9160";"13";"15386"
"6791";"3";"15647"
"13161";"24";"18112"
"13154";"13";"13213"
"5085";"6";"16081"
"11301";"4";"16340"
"11358";"10";"11158"
"4242";"7";"15572"
"6774";"18";"11938"
"12574";"29";"11515"
"7277";"14";"13832"
"7547";"24";"11304"
"7212";"14";"12320"
"13161";"26";"12868"
"12893";"9";"11371"
"11825";"5";"18468"
"3001";"4";"10884"
"13190";"2";"13332"
"6294";"26";"16182"
"8599";"15";"13973"
"11657";"23";"15081"
"8119";"16";"10073"
"10306";"6";"15157"
"12976";"33";"12785"
"12309";"10";"14360"
"10304";"10";"10254"
"12442";"11";"12744"
"12560";"29";"11546"
"6791";"9";"12281"
"7548";"27";"11564"
"10545";"31";"16033"
"12314";"5";"12344"
"12314";"30";"16797"
"13159";"15";"13235"
"13156";"13";"13216"
"8742";"4";"16207"
"11198";"20";"10212"
"8090";"3";"10332"
"12574";"22";"11312"
"3578";"22";"12184"
"10013";"8";"14914"
"12390";"6";"10338"
"10077";"10";"12789"
"12625";"15";"11187"
"8093";"3";"10616"
"7547";"14";"10719"
"11767";"32";"11179"
"9670";"10";"12151"
"10389";"2";"15214"
"4086";"1";"13158"
"10306";"4";"10036"
"9693";"1";"18009"
"12310";"14";"14360"
"5099";"2";"12531"
"5795";"19";"13351"
"8174";"24";"12318"
"5099";"18";"12105"
"9367";"38";"12139"
"583";"24";"10158"
"13030";"8";"12108"
"9878";"28";"10598"
"12254";"4";"16316"
"4705";"14";"11561"
"8843";"4";"14939"
"9670";"19";"11881"
"10011";"1";"16875"
"7542";"18";"10691"
"11628";"12";"11758"
"11684";"8";"15099"
"12560";"42";"12175"
"13125";"4";"12689"
"12841";"14";"16560"
"10077";"3";"12735"
"3575";"35";"12363"
"4404";"21";"10125"
"7543";"7";"11303"
"12074";"4";"12322"
"12976";"30";"12569"
"8174";"25";"15060"
"12963";"1";"17343"
"10548";"33";"15974"
"6777";"17";"11979"
"9747";"5";"11413"
"12174";"8";"13492"
"13017";"5";"15989"
"6777";"16";"11986"
"6844";"1";"17118"
"9309";"9";"16847"
"11524";"8";"11919"
"12958";"5";"17948"
"6201";"32";"12700"
"13142";"12";"12835"
"12712";"7";"14858"
"9367";"19";"10947"
"6796";"3";"15148"
